58.4	0.1276	0.2552
59.7	0.1276	0.2552
61.1	0.1276	0.2552
62.4	0.1276	0.2552
63.8	0.1276	0.2552
65.2	0.1276	0.2552
66.5	0.1276	0.2552
67.9	0.1276	0.2552
69.2	0.1276	0.2552
70.6	0.1276	0.2552
71.9	0.1276	0.2552
73.3	0.1276	0.2552
74.7	0.1276	0.2552
76	0.1276	0.2552
77.4	0.1276	0.2552
78.7	0.1276	0.2552
80.1	0.1276	0.2552
81.4	0.1276	0.2552
82.8	0.1276	0.2552
84.2	0.1276	0.2552
85.5	0.1276	0.2552
86.9	0.1276	0.2552
88.2	0.1913	0.3826
89.6	0.2551	0.5102
91	0.2551	0.5102
92.3	0.2551	0.5102
93.7	0.2551	0.5102
95	0.2551	0.5102
96.4	0.2551	0.5102
97.7	0.2551	0.5102
99.1	0.2551	0.5102
100.5	0.2551	0.5102
101.8	0.2551	0.5102
103.2	0.2551	0.5102
104.5	0.2551	0.5102
105.9	0.2551	0.5102
107.2	0.2551	0.5102
108.6	0.2551	0.5102
110	0.3827	0.7654
111.3	0.5102	1.0204
112.7	0.5102	1.0204
114	0.5102	1.0204
115.4	0.5102	1.0204
116.7	0.7015	1.403
118.1	0.7015	1.403
119.5	0.7015	1.403
120.8	0.7015	1.403
122.2	0.7015	1.403
123.5	0.7015	1.403
124.9	0.7653	1.5306
126.2	0.8291	1.6582
127.6	0.8929	1.7858
129	0.8929	1.7858
130.3	0.7015	1.403
131.7	0.7015	1.403
133	0.7015	1.403
134.4	0.6378	1.2756
135.7	0.574	1.148
137.1	0.6378	1.2756
138.5	0.7015	1.403
139.8	0.7015	1.403
141.2	0.7015	1.403
142.5	0.7015	1.403
143.9	0.7015	1.403
145.2	0.7015	1.403
146.6	0.7653	1.5306
148	0.8291	1.6582
149.3	0.8929	1.7858
150.7	0.8929	1.7858
152	0.8929	1.7858
153.4	0.9566	1.9132
154.8	1.0204	2.0408
156.1	1.0842	2.1684
157.5	1.148	2.296
158.8	1.2117	2.4234
160.2	1.2755	2.551
161.5	1.3393	2.6786
162.9	1.4031	2.8062
164.3	1.4668	2.9336
165.6	1.5306	3.0612
167	1.5944	3.1888
168.3	1.6582	3.3164
169.7	1.7219	3.4438
171	1.7857	3.5714
173.8	1.9133	3.8266
175.1	2.2321	4.4642
176.5	2.2959	4.5918
177.8	2.3597	4.7194
179.2	2.4235	4.847
180.5	2.4872	4.9744
181.9	2.8699	5.7398
183.3	2.9337	5.8674
184.6	3.2526	6.5052
186	3.3163	6.6326
187.3	4.0179	8.0358
188.7	4.1454	8.2908
190	4.4643	8.9286
191.4	5.4847	10.9694
192.8	5.4847	10.9694
194.1	5.4847	10.9694
195.5	5.4847	10.9694
196.8	6.0587	12.1174
198.2	6.1224	12.2448
199.5	7.0791	14.1582
200.9	7.1429	14.2858
202.3	7.2066	14.4132
203.6	8.2908	16.5816
205	8.3546	16.7092
206.3	9.375	18.75
207.7	9.5026	19.0052
209	10.7143	21.4286
210.4	10.7781	21.5562
211.8	11.4158	22.8316
213.1	11.4796	22.9592
214.5	11.5434	23.0868
215.8	12.1811	24.3622
217.2	12.2449	24.4898
218.6	12.7551	25.5102
219.9	12.8189	25.6378
221.3	13.3291	26.6582
222.6	13.3929	26.7858
224	13.4566	26.9132
